opa_row_id,parcel_number,location,unit,BUILDING_ID,match_method,match_distance_ft,opa_residential,opa_commercial,opa_vacant,units_exact_record,units_min_record,unit_record_method
8654,493094200,5943 N MARVINE ST,,1168121,within,0.0,1,0,0,1.0,1,single_family_1
8655,663047400,3216 BYBERRY RD,,1228668,within,0.0,1,0,0,1.0,1,single_family_1
8656,662257930,3239 RED LION RD,,1313499,within,0.0,1,0,0,,2,multifamily_unknown
8657,662257925,3237 RED LION RD,,1313500,within,0.0,1,0,0,,2,multifamily_unknown
8658,11270500,323 GREENWICH ST,,1521605,within,0.0,1,0,0,1.0,1,single_family_1
8659,511212600,1138 S WILTON ST,,1375625,within,0.0,1,0,0,1.0,1,single_family_1
8660,211105700,307 COTTON ST,,1081334,within,0.0,1,0,0,1.0,1,single_family_1
8661,81017000,2133 CYPRESS ST,,1442639,within,0.0,1,0,0,1.0,1,single_family_1
8662,501391200,2204 E WASHINGTON LN,,1101883,within,0.0,1,0,0,1.0,1,single_family_1
8664,243226100,1107 UNION ST,,1488850,within,0.0,1,0,0,1.0,1,single_family_1
8665,871535010,2100 S 15TH ST,,1505259,within,0.0,1,1,0,,1,residential_unknown
8666,171319000,1953 MEDARY AVE,,1143826,within,0.0,1,0,0,1.0,1,single_family_1
8667,202079600,1444 N PERTH ST,,1002451,within,0.0,1,0,0,1.0,1,single_family_1
8668,321118100,1737 W MONTGOMERY AVE,,1000111,within,0.0,1,0,0,,2,multifamily_unknown
8669,365140400,1724 S 16TH ST,,1375367,within,0.0,1,0,0,1.0,1,single_family_1
8670,292145100,1456 N DOVER ST,,1008530,within,0.0,1,0,0,1.0,1,single_family_1
8672,73072200,3458 ELLA ST,,1018895,within,0.0,1,0,0,1.0,1,single_family_1
8673,391121500,130 FITZGERALD ST,,1366854,within,0.0,1,0,0,1.0,1,single_family_1
8674,391020900,129 DUDLEY ST,,1390819,within,0.0,1,0,0,1.0,1,single_family_1
8675,31062000,6155 WALNUT ST,,1482572,within,0.0,1,0,0,1.0,1,single_family_1
8676,602009500,5123 LUDLOW ST,,1371425,within,0.0,1,0,0,1.0,1,single_family_1
8677,622247300,5205 DUFFIELD ST,,1269606,within,0.0,1,0,0,1.0,1,single_family_1
8678,132007100,4504 N BROAD ST,,1174802,within,0.0,0,0,1,0.0,0,non_residential
